Designator,Mid X,Mid Y,Rotation,Layer
C1,57.9625,-83.8,0.0,bottom
C10,37.5,-75.3625,270.0,bottom
C2,53.6625,-71.2,180.0,bottom
C3,53.6625,-83.8,180.0,bottom
C4,45.9,-82.8,270.0,bottom
C5,57.9625,-71.2,180.0,bottom
C6,37.4,-80.0,90.0,bottom
C7,75.4,-75.0625,90.0,bottom
C8,49.1,-79.1,180.0,bottom
C9,66.7,-83.8,0.0,bottom
J1,67.175,-77.25,90.0,bottom
J2,34.175,-74.975,0.0,bottom
R1,45.2,-79.1,180.0,bottom
R2,62.4,-83.8,180.0,bottom
R3,40.6,-83.0,180.0,bottom
R4,37.1,-83.0,0.0,bottom
U1,56.5,-77.5,90.0,bottom
U2,41.0,-80.0,0.0,bottom
U3,36.2,-71.615,0.0,top
U4,43.5,-74.0,180.0,bottom
Y1,49.0,-82.8,180.0,bottom
