Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6",0603,4,100nF,
C10,0603,1,10µF,
"C3, C4",0603,2,22pF,
"C7, C8",0603,2,1µF,
C9,0603,1,10nF,
J1,FFC_0527450697,1,FFC6,
J2,PinHeader_1x03_P2.54mm_Horizontal,1,Pin header,
"R1, R2",0603,2,10kΩ,
R3,0603,1,6.8MΩ,
R4,0603,1,15MΩ,
U1,TQFP-32_7x7mm_P0.8mm,1,ATMEGA328P-AU,
U2,SOT-23-5,1,MCP6001T-I/OT,
U3,0.91-OLED-4pin-128x32,1,Display_OLED_0.91_I2C,
U4,SOT-223-3_TabPin2,1,NCP1117-5.0_SOT223,
Y1,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,1,16MHz 16pF,
